"sDm_D"	"sDm_E"	"sBn_D"	"sBn_E"	"sAn_D"	"sAn_E"
"ENSG00000260464"	22	24	20	27	14	24
"ENSG00000231996"	0	0	0	0	0	0
"ENSG00000287756"	0	0	0	0	0	0
"ENSG00000284652"	0	3	4	3	1	8
"ENSG00000228399"	15	9	3	16	18	13
"ENSG00000236776"	1	1	1	5	3	2
"ENSG00000271252"	0	0	0	0	4	0
"ENSG00000235794"	3	0	2	0	0	2
"ENSG00000233983"	0	0	0	0	0	0
"ENSG00000232918"	0	0	0	0	0	0
"ENSG00000183298"	138	102	122	98	90	90
"ENSG00000162699"	0	0	0	0	0	0
"ENSG00000203914"	1	0	0	0	0	0
"ENSG00000270457"	2	4	5	6	3	1
"ENSG00000231987"	0	0	0	0	0	0
"ENSG00000229842"	0	5	3	2	0	2
"ENSG00000198162"	5372	5418	4289	3530	3649	4597
"ENSG00000203864"	0	0	0	0	2	0
"ENSG00000233482"	0	0	0	0	0	0
"ENSG00000232450"	26	49	32	27	14	26
"ENSG00000235038"	0	1	1	0	0	0
"ENSG00000173947"	5	4	2	4	3	0
"ENSG00000279513"	6	5	5	5	2	6
"ENSG00000231072"	0	0	0	0	0	1
"ENSG00000225923"	0	0	0	0	0	0
"ENSG00000134253"	40	39	24	31	33	17
"ENSG00000223416"	22	21	8	12	10	7
"ENSG00000179571"	0	0	0	0	1	0
"ENSG00000227850"	0	0	0	2	0	0
"ENSG00000285532"	0	0	0	0	0	0
"ENSG00000226755"	1	1	0	0	0	1
"ENSG00000277095"	0	0	0	0	0	0
"ENSG00000264145"	0	0	0	0	0	0
"ENSG00000238256"	1	0	0	0	0	0
"ENSG00000198765"	0	0	0	0	0	0
"ENSG00000223489"	0	0	1	0	0	0
"ENSG00000230546"	0	0	0	0	0	0
"ENSG00000213262"	1	1	0	2	0	1
"ENSG00000287015"	0	0	0	0	0	0
"ENSG00000235526"	0	0	0	0	0	0
"ENSG00000228347"	0	0	0	0	0	0
"ENSG00000236012"	0	0	0	0	0	0
"ENSG00000134200"	1	1	1	0	3	1
"ENSG00000226126"	0	0	0	0	0	0
"ENSG00000228453"	0	0	0	0	0	0
"ENSG00000261168"	9	2	4	2	1	1
"ENSG00000233432"	0	2	3	1	0	4
"ENSG00000229911"	0	0	0	0	0	0
"ENSG00000270719"	1	0	0	1	0	0
"ENSG00000155761"	4	5	8	3	5	8
"ENSG00000234422"	0	0	0	0	0	0
"ENSG00000227091"	0	0	0	0	0	0
"ENSG00000230932"	0	0	0	0	0	0
"ENSG00000225036"	0	0	0	0	0	0
"ENSG00000250890"	0	0	0	0	0	0
"ENSG00000232240"	0	0	0	0	0	0
"ENSG00000234388"	0	0	0	0	0	0
"ENSG00000233717"	3	0	0	2	7	0
"ENSG00000163155"	382	341	226	230	330	361
"ENSG00000241975"	49	52	51	45	51	60
"ENSG00000270976"	0	0	0	0	0	0
"ENSG00000228217"	14	18	12	12	14	10
"ENSG00000270342"	0	0	0	0	0	0
"ENSG00000235887"	0	0	0	0	0	0
"ENSG00000235756"	0	0	0	0	0	0
"ENSG00000173810"	1	2	1	4	0	0
"ENSG00000271890"	0	0	0	0	0	0
"ENSG00000283360"	25	27	26	12	20	34
"ENSG00000227970"	0	0	0	0	0	0
"ENSG00000231613"	3	10	39	26	9	9
"ENSG00000236689"	0	0	2	4	6	0
"ENSG00000226028"	0	0	0	0	0	0
"ENSG00000203825"	0	0	1	0	0	0
"ENSG00000233449"	0	0	0	0	0	0
"ENSG00000242943"	0	0	0	0	0	0
"ENSG00000232499"	9	17	8	6	11	7
"ENSG00000232995"	49	48	75	49	38	62
"ENSG00000238087"	0	0	0	0	0	0
"ENSG00000271092"	37	28	32	17	33	12
"ENSG00000232148"	0	0	0	0	1	0
"ENSG00000232952"	1	0	0	2	0	3
"ENSG00000260322"	0	0	0	0	0	0
"ENSG00000225462"	0	0	1	0	0	0
"ENSG00000237756"	3	7	11	4	2	9
"ENSG00000271187"	0	0	0	0	0	0
"ENSG00000231175"	0	0	1	0	0	0
"ENSG00000143185"	46	33	28	18	93	66
"ENSG00000272931"	109	98	77	71	84	71
"ENSG00000225475"	0	0	1	3	1	3
"ENSG00000232223"	0	0	0	0	0	0
"ENSG00000224468"	3	3	2	3	4	3
"ENSG00000232551"	0	0	0	0	0	0
"ENSG00000238270"	0	0	0	0	0	0
"ENSG00000236025"	0	0	0	0	0	0
"ENSG00000230704"	0	0	0	0	0	0
"ENSG00000275767"	0	0	0	0	0	0
"ENSG00000047410"	13778	13292	14920	12189	8322	8886
"ENSG00000134216"	0	0	0	0	2	0
"ENSG00000230748"	0	0	0	0	0	0
"ENSG00000238108"	0	0	0	0	0	0
"ENSG00000287472"	0	0	0	0	0	0
"ENSG00000241318"	7	4	2	0	0	0
"ENSG00000228238"	5	3	3	9	1	4
"ENSG00000232393"	0	0	0	0	0	0
"ENSG00000184155"	0	0	0	0	0	0
"ENSG00000232917"	0	0	0	0	0	0
"ENSG00000233057"	25	8	5	6	7	3
"ENSG00000143184"	56	66	39	44	88	94
"ENSG00000224691"	0	0	1	0	0	0
"ENSG00000233626"	3	1	3	2	2	0
"ENSG00000231714"	0	0	0	0	0	0
"ENSG00000285638"	0	0	0	0	0	0
"ENSG00000230987"	0	0	0	0	2	1
"ENSG00000228167"	0	0	0	0	0	0
"ENSG00000150732"	0	0	0	0	0	0
"ENSG00000288139"	1	0	0	0	0	0
"ENSG00000238051"	0	0	0	0	0	0
"ENSG00000233196"	1	2	0	1	0	0
"ENSG00000229220"	0	0	0	0	0	0
"ENSG00000227747"	0	0	0	0	0	0
"ENSG00000228081"	1	1	1	1	1	0
"ENSG00000228020"	0	0	0	0	0	0
"ENSG00000234975"	998	1394	1045	1392	968	1255
"ENSG00000271427"	2	9	5	4	8	7
"ENSG00000230777"	1	2	3	4	4	4
"ENSG00000179397"	45	62	35	40	31	21
"ENSG00000224540"	0	0	0	0	0	0
"ENSG00000186197"	210	231	118	91	178	238
"ENSG00000229067"	0	0	0	0	0	0
"ENSG00000261182"	0	0	0	0	0	0
"ENSG00000225712"	0	0	0	0	0	0
"ENSG00000162761"	0	0	0	0	0	0
"ENSG00000143199"	15	11	7	10	16	11
"ENSG00000007908"	2	1	1	2	9	13
"ENSG00000274702"	0	0	0	0	0	0
"ENSG00000226211"	0	0	0	0	0	0
"ENSG00000116574"	6244	5701	3072	2656	2812	5328
"ENSG00000225172"	0	0	0	0	1	0
"ENSG00000261642"	0	0	0	0	0	0
"ENSG00000228239"	0	0	0	0	0	0
"ENSG00000237283"	0	0	0	0	0	0
"ENSG00000116132"	4	0	5	4	4	4
"ENSG00000229242"	0	0	0	0	0	0
"ENSG00000234984"	0	0	0	0	2	0
"ENSG00000229983"	0	0	1	0	0	0
"ENSG00000225122"	0	0	0	0	0	0
"ENSG00000225920"	79	83	103	73	34	104
"ENSG00000285718"	0	0	0	0	0	0
"ENSG00000233018"	0	1	2	1	0	3
"ENSG00000224783"	0	0	0	0	0	0
"ENSG00000268062"	19	16	16	4	9	12
"ENSG00000229757"	25	25	12	11	13	12
"ENSG00000220749"	148	154	119	144	125	102
"ENSG00000181450"	519	490	430	375	318	440
"ENSG00000223842"	11	7	5	2	10	2
"ENSG00000143355"	0	0	0	0	2	0
"ENSG00000237193"	0	0	0	0	0	0
"ENSG00000223490"	0	1	1	0	0	1
"ENSG00000162849"	80	164	45	52	29	33
"ENSG00000232824"	8	6	0	1	2	4
"ENSG00000224702"	0	0	0	0	0	0
"ENSG00000271811"	0	0	1	0	0	0
"ENSG00000224278"	0	0	0	0	0	0
"ENSG00000226486"	0	0	0	0	0	0
"ENSG00000227687"	0	0	0	0	0	0
"ENSG00000231814"	0	0	0	0	0	0
"ENSG00000277007"	42	57	66	60	57	60
"ENSG00000229016"	0	0	0	0	1	3
"ENSG00000152104"	48	61	62	57	46	65
"ENSG00000225006"	0	0	0	0	0	0
"ENSG00000223375"	2	2	0	0	0	4
"ENSG00000230714"	0	0	0	0	0	0
"ENSG00000282852"	3	1	0	2	0	7
"ENSG00000232100"	0	0	0	0	0	0
"ENSG00000230547"	0	0	0	0	0	0
"ENSG00000232215"	0	2	0	0	0	0
"ENSG00000278180"	0	0	0	0	0	0
"ENSG00000232341"	0	0	0	0	3	0
"ENSG00000287676"	9	0	3	1	0	5
"ENSG00000236792"	0	0	1	0	0	0
"ENSG00000270859"	0	0	0	0	0	0
"ENSG00000238224"	1	0	0	0	0	0
"ENSG00000237492"	0	3	0	1	0	0
"ENSG00000150681"	647	490	1435	1108	941	950
"ENSG00000092969"	3	4	4	0	0	3
"ENSG00000250762"	6	5	6	2	3	12
"ENSG00000235083"	0	0	0	0	0	0
"ENSG00000162669"	1	0	1	1	4	3
"ENSG00000225904"	0	0	0	0	0	0
"ENSG00000010932"	2	1	0	0	0	0
"ENSG00000238054"	0	6	0	0	0	0
"ENSG00000281453"	0	0	0	0	0	0
"ENSG00000237469"	0	0	0	0	0	0
"ENSG00000227613"	0	0	0	0	0	0
"ENSG00000116183"	5	8	13	4	9	1
"ENSG00000231612"	2	5	2	0	0	1
"ENSG00000271036"	0	0	0	0	0	0
"ENSG00000226868"	0	0	0	0	5	0
"ENSG00000279401"	0	2	1	0	0	0
"ENSG00000287450"	0	0	0	1	0	0
"ENSG00000237011"	0	0	0	0	0	4
"ENSG00000173728"	34	38	27	27	44	46
"ENSG00000225811"	0	0	0	0	0	0
"ENSG00000273093"	0	0	0	0	0	0
"ENSG00000185523"	1	0	2	5	7	8
"ENSG00000226750"	0	0	0	0	0	0
"ENSG00000285665"	21	39	18	27	35	21
"ENSG00000231022"	0	0	0	0	2	0
"ENSG00000224436"	0	0	0	0	0	0
"ENSG00000234915"	5	8	2	0	4	15
"ENSG00000227585"	0	0	0	0	0	0
"ENSG00000157060"	0	0	0	0	0	0
"ENSG00000237213"	0	0	0	0	0	2
"ENSG00000213045"	1	0	1	1	1	0
"ENSG00000230063"	1	1	3	1	2	1
"ENSG00000235467"	0	0	0	0	0	0
"ENSG00000225338"	1	1	3	2	8	9
"ENSG00000224407"	0	0	0	0	0	0
"ENSG00000232463"	0	0	0	0	0	0
"ENSG00000225171"	22	31	33	39	75	40
"ENSG00000213690"	0	0	0	0	0	0
"ENSG00000229832"	37	34	39	25	42	31
"ENSG00000237514"	0	0	0	0	0	0
"ENSG00000287856"	0	0	0	2	0	0
"ENSG00000224040"	0	1	1	0	0	0
"ENSG00000228686"	31	17	19	29	50	36
"ENSG00000236401"	0	0	0	0	0	0
"ENSG00000215800"	0	0	0	0	0	0
"ENSG00000270936"	0	0	0	0	0	0
"ENSG00000241505"	0	0	0	0	0	0
"ENSG00000261453"	0	0	0	0	0	0
"ENSG00000231020"	0	0	0	0	0	0
"ENSG00000270818"	0	0	0	0	0	0
"ENSG00000225561"	0	0	0	0	0	0
"ENSG00000223847"	0	0	0	0	0	0
"ENSG00000277704"	0	0	0	0	0	0
"ENSG00000240963"	6	11	1	2	4	3
"ENSG00000226570"	0	0	0	0	0	0
"ENSG00000236905"	6	2	8	5	1	3
"ENSG00000227887"	0	0	0	0	0	0
"ENSG00000116903"	2766	2271	2467	2226	2097	2745
"ENSG00000226196"	0	0	0	0	0	0
"ENSG00000287354"	0	0	0	0	0	0
"ENSG00000233827"	1	0	0	0	0	0
"ENSG00000235182"	0	0	0	0	0	0
"ENSG00000287157"	0	0	0	0	0	4
"ENSG00000225755"	3	1	0	0	2	0
"ENSG00000197472"	1	3	1	0	3	4
"ENSG00000230184"	26	14	21	8	9	6
"ENSG00000232436"	0	0	0	0	0	0
"ENSG00000236317"	5	4	6	10	2	5
"ENSG00000176855"	0	0	0	0	0	0
"ENSG00000225401"	19	29	20	7	37	26
"ENSG00000228190"	0	0	0	0	0	0
"ENSG00000135747"	0	0	0	0	0	0
"ENSG00000253148"	0	0	0	0	0	0
"ENSG00000227751"	0	0	0	0	0	0
"ENSG00000236468"	0	0	1	0	0	0
"ENSG00000236101"	0	0	0	0	0	0
"ENSG00000278684"	0	0	0	0	0	0
"ENSG00000236775"	0	0	0	0	1	0
"ENSG00000042781"	2	1	2	1	1	2
"ENSG00000228646"	0	0	0	0	0	0
"ENSG00000233332"	0	0	0	0	0	0
"ENSG00000231984"	0	0	0	0	0	0
"ENSG00000035687"	7238	5648	3929	3695	5405	8632
"ENSG00000180287"	5	3	2	0	0	1
"ENSG00000226693"	0	0	0	0	0	0
"ENSG00000231272"	0	0	0	0	0	0
"ENSG00000223828"	3	4	4	2	4	3
"ENSG00000226723"	1	1	0	0	0	0
"ENSG00000272672"	2	4	5	1	3	4
"ENSG00000235096"	4	13	2	2	11	19
"ENSG00000225222"	0	2	2	0	0	3
"ENSG00000198842"	0	0	3	3	2	0
"ENSG00000286619"	5	3	311	265	388	388
"ENSG00000198756"	1067	1133	642	656	870	1066
"ENSG00000227554"	0	0	0	0	0	2
"ENSG00000178596"	0	0	0	0	0	0
"ENSG00000183780"	18	23	12	8	5	8
"ENSG00000229663"	1	0	2	0	0	1
"ENSG00000228530"	0	0	0	0	0	0
"ENSG00000143194"	2	3	7	2	2	3
"ENSG00000287921"	0	0	0	0	2	0
"ENSG00000232166"	0	3	0	0	0	5
"ENSG00000231378"	1	3	2	0	3	6
"ENSG00000235605"	7	3	0	3	0	2
"ENSG00000224857"	3	1	0	1	0	1
"ENSG00000273367"	11	6	13	6	6	3
"ENSG00000231605"	0	0	0	0	1	0
"ENSG00000236358"	21	23	22	20	4	2
"ENSG00000203737"	2	7	3	0	9	23
"ENSG00000215873"	0	0	0	0	1	0
"ENSG00000185420"	492	415	361	334	386	383
"ENSG00000272175"	3	4	2	1	4	3
"ENSG00000213070"	0	0	0	0	0	0
"ENSG00000229747"	0	0	0	0	0	0
"ENSG00000225486"	0	0	0	0	0	0
"ENSG00000213068"	0	0	0	0	0	0
"ENSG00000273198"	2	7	4	1	0	0
"ENSG00000225719"	0	0	0	0	0	0
"ENSG00000273483"	8	3	14	4	6	16
"ENSG00000232809"	0	0	0	0	0	0
"ENSG00000285981"	0	0	0	0	0	0
"ENSG00000215796"	3	4	4	1	0	8
"ENSG00000233047"	0	0	0	0	0	0
"ENSG00000143341"	57	30	46	52	14	18
"ENSG00000116703"	2	2	4	1	7	8
"ENSG00000264341"	1	1	16	4	0	2
"ENSG00000264101"	0	1	2	0	0	0
"ENSG00000252404"	0	0	0	0	0	0
"ENSG00000243267"	3	5	6	3	3	11
"ENSG00000252151"	0	0	0	0	0	0
"ENSG00000252969"	1	0	2	0	1	2
"ENSG00000252956"	0	0	0	0	0	0
"ENSG00000284357"	0	0	0	0	0	0
"ENSG00000207941"	0	0	0	0	0	0
"ENSG00000199963"	0	0	0	0	0	0
"ENSG00000264698"	0	0	0	0	0	0
"ENSG00000207328"	1	0	0	0	0	0
"ENSG00000207466"	0	0	0	0	0	0
"ENSG00000252368"	0	0	0	0	0	0
"ENSG00000206779"	2	3	2	0	2	1
"ENSG00000200796"	0	0	0	0	0	0
"ENSG00000283724"	0	0	0	0	0	0
"ENSG00000284410"	0	0	0	0	0	0
"ENSG00000252018"	0	0	1	0	0	1
"ENSG00000206627"	12	7	12	7	11	12
"ENSG00000207508"	10	4	2	3	7	6
"ENSG00000200171"	0	0	0	0	0	0
"ENSG00000207194"	1	0	0	0	2	0
"ENSG00000283477"	0	0	0	0	0	0
"ENSG00000263675"	31	19	29	17	25	14
"ENSG00000238653"	0	0	0	0	0	0
"ENSG00000212624"	7	5	5	0	0	0
"ENSG00000200575"	0	0	0	0	0	0
"ENSG00000212360"	0	2	2	0	1	0
"ENSG00000251825"	0	0	0	0	0	0
"ENSG00000222624"	0	0	0	0	0	0
"ENSG00000223152"	0	0	0	0	0	0
"ENSG00000212308"	0	0	0	0	0	0
"ENSG00000276081"	0	0	0	0	0	0
"ENSG00000239640"	0	1	0	0	0	0
"ENSG00000252338"	0	0	0	0	0	0
"ENSG00000239319"	0	0	0	0	0	0
"ENSG00000251767"	0	0	0	0	0	0
"ENSG00000202263"	0	0	0	0	0	0
"ENSG00000199318"	1	2	0	0	0	0
"ENSG00000199666"	0	0	2	0	0	0
"ENSG00000200601"	0	0	0	0	0	0
"ENSG00000242482"	0	0	0	0	0	0
"ENSG00000201620"	0	0	1	0	1	0
"ENSG00000206817"	0	0	0	0	0	0
"ENSG00000264963"	0	0	0	0	0	0
"ENSG00000198974"	2	0	0	4	0	0
"ENSG00000212248"	0	0	0	3	0	0
"ENSG00000207962"	6	2	8	2	0	2
"ENSG00000207234"	16	12	20	12	23	17
"ENSG00000202259"	0	2	0	1	0	5
"ENSG00000212459"	0	0	0	0	0	0
"ENSG00000263526"	0	0	0	0	0	0
"ENSG00000211575"	1	2	0	1	0	1
"ENSG00000202254"	0	0	0	0	0	0
"ENSG00000201491"	0	0	0	0	0	0
"ENSG00000275455"	0	0	0	2	0	0
"ENSG00000200800"	0	0	0	0	0	0
"ENSG00000252530"	0	0	0	0	0	0
"ENSG00000200536"	0	2	0	0	0	0
"ENSG00000211543"	0	0	0	0	0	0
"ENSG00000252797"	0	0	0	0	0	0
"ENSG00000212266"	0	0	0	0	0	0
"ENSG00000222209"	0	0	0	0	0	0
"ENSG00000277141"	0	0	0	0	0	0
"ENSG00000215930"	3	0	0	1	0	0
"ENSG00000238761"	0	0	0	0	0	0
"ENSG00000222069"	4	0	4	1	0	6
"ENSG00000252005"	0	0	0	0	0	0
"ENSG00000252510"	0	0	1	0	0	0
"ENSG00000252830"	0	0	0	0	0	0
"ENSG00000283296"	2	1	2	0	2	6
"ENSG00000252717"	0	0	0	0	0	0
"ENSG00000277313"	0	0	0	0	0	0
"ENSG00000207472"	0	0	0	0	0	0
"ENSG00000199849"	0	0	0	0	0	0
"ENSG00000212538"	0	0	0	0	0	0
"ENSG00000251813"	0	0	0	0	0	0
"ENSG00000207108"	0	0	0	0	0	0
"ENSG00000202491"	0	0	0	0	0	0
"ENSG00000201596"	0	0	0	0	0	0
"ENSG00000273629"	1	0	0	0	0	0
"ENSG00000201493"	0	0	0	0	0	0
"ENSG00000200139"	0	0	0	0	0	0
"ENSG00000253025"	0	0	0	0	0	0
"ENSG00000201544"	31	27	13	16	24	36
"ENSG00000202498"	0	0	0	0	0	0
"ENSG00000221545"	0	0	1	0	0	0
"ENSG00000252906"	2	6	1	1	12	3
"ENSG00000202329"	0	0	0	0	0	0
"ENSG00000242794"	0	0	0	0	0	0
"ENSG00000283340"	0	0	0	0	0	0
"ENSG00000252860"	0	0	0	0	0	0
"ENSG00000263390"	0	0	0	0	0	0
"ENSG00000207181"	5	2	6	1	9	1
"ENSG00000264377"	0	0	0	0	0	0
"ENSG00000207149"	0	0	0	0	0	0
"ENSG00000284485"	0	0	0	0	0	0
"ENSG00000239494"	26	24	27	16	8	12
"ENSG00000199442"	0	0	0	0	0	0
"ENSG00000239690"	0	5	1	0	0	0
"ENSG00000202184"	3	3	0	0	1	1
"ENSG00000241395"	5	4	3	3	7	9
"ENSG00000200982"	0	0	0	0	0	0
"ENSG00000222407"	0	0	0	0	0	2
"ENSG00000200495"	0	1	0	0	0	0
"ENSG00000252553"	0	0	0	0	0	0
"ENSG00000222240"	0	0	0	0	0	0
"ENSG00000212187"	0	0	0	0	0	1
"ENSG00000200036"	0	0	0	0	0	0
"ENSG00000212610"	0	0	0	0	0	0
"ENSG00000200327"	0	0	0	0	0	0
"ENSG00000200972"	0	0	0	0	0	0
"ENSG00000212205"	7	4	4	4	4	1
"ENSG00000264358"	0	0	0	0	0	0
"ENSG00000212527"	0	0	0	0	0	0
"ENSG00000252879"	0	0	0	0	0	0
"ENSG00000202264"	0	0	0	0	0	0
"ENSG00000285609"	0	0	0	0	0	0
